Unnamed: 0,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 13
28,AS Wassan (INDIA),1990-1991,9,9.0,426.0,283.0,11.0,3/28,25.72,3.98,38.7,0.0,0.0,0.0
44,ASA Perera (SL),1998-2001,20,18.0,579.0,522.0,13.0,2/25,40.15,5.4,44.5,0.0,0.0,0.0
15,AT Carey (AUS),2018-2019,29,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
14,AT Rayudu (INDIA),2013-2019,55,9.0,121.0,124.0,3.0,1/5,41.33,6.14,40.3,0.0,0.0,0.0
28,AU Rashid (ENG),2009-2019,99,93.0,4851.0,4547.0,143.0,5/27,31.79,5.62,33.9,7.0,2.0,0.0
17,AV Kale (INDIA),2003-2003,1,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
5,AV Lalcheta (OMAN),2019-2019,2,2.0,84.0,62.0,2.0,2/35,31.0,4.42,42.0,0.0,0.0,0.0
2,AV Mankad (INDIA),1974-1974,1,1.0,35.0,47.0,1.0,1/47,47.0,8.05,35.0,0.0,0.0,0.0
14,AV Vadher (KENYA),1997-1999,18,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
10,AW Greig (ENG),1972-1977,22,19.0,916.0,619.0,19.0,4/45,32.57,4.05,48.2,1.0,0.0,0.0
4,AW Mathieson (NZ),2015-2015,1,1.0,24.0,40.0,1.0,1/40,40.0,10.0,24.0,0.0,0.0,0.0
7,AY Karim (KENYA),1996-2003,34,33.0,1568.0,1114.0,27.0,5/33,41.25,4.26,58.0,0.0,1.0,0.0
19,Aamer Hameed (PAK),1977-1978,2,2.0,88.0,38.0,1.0,1/32,38.0,2.59,88.0,0.0,0.0,0.0
14,Aamer Hanif (PAK),1993-1995,5,4.0,130.0,122.0,4.0,3/36,30.5,5.63,32.5,0.0,0.0,0.0
41,Aamer Malik (PAK),1988-1994,24,5.0,120.0,86.0,3.0,2/35,28.66,4.3,40.0,0.0,0.0,0.0
47,Aamer Nazir (PAK),1993-1995,9,9.0,417.0,346.0,11.0,3/43,31.45,4.97,37.9,0.0,0.0,0.0
29,Aamer Sohail (PAK),1990-2000,156,125.0,4836.0,3703.0,85.0,4/22,43.56,4.59,56.8,1.0,0.0,0.0
43,Aamer Yamin (PAK),2015-2018,4,4.0,156.0,154.0,2.0,1/38,77.0,5.92,78.0,0.0,0.0,0.0
44,Aamir Kaleem (OMAN),2019-2019,2,2.0,77.0,54.0,2.0,2/30,27.0,4.2,38.5,0.0,0.0,0.0
48,Aaqib Javed (PAK),1988-1998,163,159.0,8012.0,5721.0,182.0,7/37,31.43,4.28,44.0,2.0,4.0,0.0
46,Aarif Sheikh (NEPAL),2018-2019,6,1.0,12.0,10.0,0.0,-,0.0,5.0,0.0,0.0,0.0,0.0
23,Aaron Jones (USA),2019-2019,9,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
24,Abdul Jabbar (CAN),2007-2007,2,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
44,Abdul Qadir (PAK),1983-1993,104,100.0,5100.0,3454.0,132.0,5/44,26.16,4.06,38.6,4.0,2.0,0.0
19,Abdul Razzaq (Asia/PAK),1996-2011,265,254.0,10941.0,8564.0,269.0,6/35,31.83,4.69,40.6,8.0,3.0,0.0
25,Abdul Rehman (UAE),2004-2004,1,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
26,Abdul Shakoor (UAE),2015-2018,3,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
45,Abdullah Mazari (AFG),2010-2010,2,2.0,96.0,49.0,2.0,1/18,24.5,3.06,48.0,0.0,0.0,0.0
49,Abdur Rauf (PAK),2008-2008,4,4.0,214.0,212.0,8.0,3/24,26.5,5.94,26.7,0.0,0.0,0.0
33,Abdur Razzak (BDESH),2004-2014,153,152.0,7965.0,6065.0,207.0,5/29,29.29,4.56,38.4,5.0,4.0,0.0
25,Abdur Rehman (PAK),2006-2014,31,31.0,1624.0,1142.0,30.0,4/48,38.06,4.21,54.1,1.0,0.0,0.0
27,Abid Ali (PAK),2019-2019,4,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0
43,Abu Hider (BDESH),2018-2018,2,2.0,108.0,89.0,3.0,2/50,29.66,4.94,36.0,0.0,0.0,0.0
46,Abu Jayed (BDESH),2019-2019,2,2.0,108.0,114.0,5.0,5/58,22.8,6.33,21.6,0.0,1.0,0.0
